OBJECTID,Salygos,Vietove,X,Y
1,Saulėta,Vilnius,580706.7488,6061110.749
2,Iš dalies debesuota,Kaunas,495946.9508,6084535.173
3,Saulėta,Varėna,536981.5748,6008531.228
4,Iš dalies debesuota,Druskininkai,498867.7981,5986304.264
5,Iš dalies debesuota,Marijampolė,456272.191,6046608.567
6,Saulėta,Utena,600856.7665,6153042.928
7,Iš dalies debesuota,Panevėžys,521684.5959,6177831.913
8,Debesuota,Šiauliai,456891.631,6198772.172
9,Debesuota,Jurbarkas,419089.8516,6105241.292
10,Lietus,Palanga,318206.6803,6203740.36
11,Lietus,Nida,310025.9614,6134343.595
12,Debesuota,Mažeikiai,396828.7279,6243191.939
13,Lietus,Šilalė,385100.3609,6152382.495
14,Iš dalies debesuota,Biržai,546920.4654,6229662.696
